m,batch_mode,num_samples,repetitions,candidate_generation_mean_ms,candidate_generation_std_ms,candidate_generation_median_ms,candidate_generation_p90_ms,candidate_generation_p95_ms,embedding_mean_ms,embedding_std_ms,embedding_median_ms,embedding_p90_ms,embedding_p95_ms,clustering_mean_ms,clustering_std_ms,clustering_median_ms,clustering_p90_ms,clustering_p95_ms,representative_selection_mean_ms,representative_selection_std_ms,representative_selection_median_ms,representative_selection_p90_ms,representative_selection_p95_ms,consensus_scoring_mean_ms,consensus_scoring_std_ms,consensus_scoring_median_ms,consensus_scoring_p90_ms,consensus_scoring_p95_ms,prompt_optimization_mean_ms,prompt_optimization_std_ms,prompt_optimization_median_ms,prompt_optimization_p90_ms,prompt_optimization_p95_ms,base_llm_generation_mean_ms,base_llm_generation_std_ms,base_llm_generation_median_ms,base_llm_generation_p90_ms,base_llm_generation_p95_ms,total_prism_mean_ms,total_prism_std_ms,total_prism_median_ms,total_prism_p90_ms,total_prism_p95_ms,end_to_end_mean_ms,end_to_end_std_ms,end_to_end_median_ms,end_to_end_p90_ms,end_to_end_p95_ms,optimizer_model_load_mean_ms,optimizer_model_load_std_ms,optimizer_model_load_median_ms,optimizer_model_load_p90_ms,optimizer_model_load_p95_ms,embedding_model_load_mean_ms,embedding_model_load_std_ms,embedding_model_load_median_ms,embedding_model_load_p90_ms,embedding_model_load_p95_ms,base_llm_model_load_mean_ms,base_llm_model_load_std_ms,base_llm_model_load_median_ms,base_llm_model_load_p90_ms,base_llm_model_load_p95_ms,total_model_load_mean_ms,total_model_load_std_ms,total_model_load_median_ms,total_model_load_p90_ms,total_model_load_p95_ms,candidate_generation_share_pct,embedding_share_pct,clustering_share_pct,representative_selection_share_pct,consensus_scoring_share_pct,base_llm_generation_share_pct,gpu_seconds_per_sample,gpu_hours_per_sample,gpu_hours_per_dataset,gpu_price_per_hour,currency,cost_per_sample,cost_per_dataset,relative_total_prism_latency
1,full,5,1,10146.265218430199,5390.052101027329,8685.369790997356,15390.038241026923,17480.648138024844,8.838451793417335,0.7258285085157106,8.917266968637705,9.510953002609313,9.613515995442867,0.007883203215897083,0.00016243006880844912,0.007950002327561378,0.007997802458703518,0.008013425394892693,0.005111400969326496,0.0003541357304598169,0.004940084181725979,0.005501182749867439,0.005518598482012749,0.004646391607820988,0.000540045366589764,0.00459898728877306,0.0051895854994654655,0.005361810326576233,10155.12131121941,5389.922777205834,8694.304454838857,15398.884947481565,17489.370320318267,14635.408904985525,5614.606421283901,17207.13114796672,18901.73300243914,19155.52339425776,24790.530216204934,8597.305629284652,25837.763728108257,32992.70475320518,35356.461136671714,38906.528445798904,8575.862313370813,39535.763421910815,47220.82818436902,49498.609629157,3948.4497177880257,206.85518858201638,3856.6889700014144,4151.11321057193,4232.848029746674,5972.28265197482,299.269350753197,5873.450421961024,6289.2209459561855,6374.001896963455,3780.9918662067503,38.372066706109955,3770.738618914038,3820.8471632329747,3832.26363460999,13701.724235969596,301.3334603865946,13635.204224963672,14002.717187767848,14040.445616422221,40.9279879451624,0.03565253230299958,3.179925216260213e-05,2.0618360820638296e-05,1.874260682324479e-05,59.03628836231479,24.790530216204935,0.00688625839339026,0.0344312919669513,,,,,1.0
5,full,5,1,13853.97627260536,4843.171717012151,13361.127736978233,18962.205110979266,20029.502979968674,10.049400175921619,1.9687237426620146,10.754143935628235,11.838523228652775,12.110448628664017,4.5135758351534605,8.856625765962779,0.567093025892973,12.44245581328869,16.39960738830268,0.0062202103435993195,0.0004583926759958541,0.006124028004705906,0.006660842336714268,0.006836443208158016,1.7598856007680297,1.7157764502415793,0.6385950837284327,3.6954825976863503,3.893880802206695,13870.305354427546,4835.374368307359,13373.093703063205,18971.170332771726,20038.213639357127,14761.915505980141,5942.868136523899,16740.328163956292,18639.68187959399,18888.759660790674,28632.220860407688,9525.625499192804,32510.368576971814,36402.995747188106,37700.35061456729,42975.32490002923,9518.536607436285,46489.69381302595,50792.338154278696,51832.25534367375,3858.159975381568,116.08305949704459,3811.518828966655,3966.139834979549,4015.3585819760337,6285.380166629329,560.9177135759945,6021.24003903009,6911.570853064768,7018.749258061871,3770.2764434274286,46.74817267837714,3757.346322061494,3818.8703923951834,3824.039734201506,13913.816585438326,544.6011467143961,13738.025362952612,14507.5704498915,14623.972525494173,48.38596467996125,0.035098221073789695,0.01576397394096237,2.1724512303551544e-05,0.006146521463871424,51.55700487904783,28.63222086040769,0.00795339468344658,0.0397669734172329,,,,,1.1549660540011983
10,full,5,1,17085.047445003875,5846.993737148038,14899.521048995666,23552.073025191203,24327.938056574203,17.259512981399894,1.424792343830634,17.310693045146763,18.70801553595811,19.047561730258167,0.5825121654197574,0.03531963028732019,0.5848819855600595,0.6171933840960264,0.6275321822613478,2.158998604863882,4.8130622239487515,0.006573973223567009,6.464006030000747,8.616436040028928,1.266859215684235,1.0446879586404656,0.7071050349622965,2.3511519888415933,2.713928977027535,17106.315327971242,5843.649382635973,14922.546544810757,23569.247651170008,24345.11749453377,15041.821472183801,5542.451215357755,16409.895928925835,19038.030919781886,19333.964793384075,32148.136800155044,9845.285788266201,34552.44521179702,40647.29190857615,41959.2542727245,46131.10530779231,9746.517362004173,48519.00010800455,54511.92469978705,55853.49632038269,3816.342945373617,36.99847828800213,3803.02189104259,3851.7357781529427,3866.5129515575245,5978.4143230179325,142.74687043453295,5944.034276995808,6125.166484992951,6145.470263971947,3728.342706966214,21.53847164962637,3737.5821239547804,3742.8610413568094,3744.109361153096,13523.099975357763,153.62146922189464,13486.172250006348,13681.234850129113,13695.997637487017,53.14475159543765,0.053687444123718724,0.0018119624444827797,0.006715781441036638,0.003940692499722489,46.789092524053395,32.148136800155044,0.008930038000043067,0.044650190000215334,,,,,1.2967910133338185
